"","year","month","week","jday","date","zone","metric","tempC"
"403",2021,9,36,248,2021-09-05,"high","mean",18.25625
"404",2021,9,36,248,2021-09-05,"high","max",31.1
"405",2021,9,36,248,2021-09-05,"high","min",14.1
"406",2021,9,36,248,2021-09-05,"mid","mean",17.2354166666667
"407",2021,9,36,248,2021-09-05,"mid","max",19.6
"408",2021,9,36,248,2021-09-05,"mid","min",15
"409",2021,9,36,249,2021-09-06,"high","mean",18.3513888888889
"410",2021,9,36,249,2021-09-06,"high","max",30.2
"411",2021,9,36,249,2021-09-06,"high","min",14.7
"412",2021,9,36,249,2021-09-06,"mid","mean",17.3625
"413",2021,9,36,249,2021-09-06,"mid","max",19.2
"414",2021,9,36,249,2021-09-06,"mid","min",15.6
"415",2021,9,36,250,2021-09-07,"high","mean",18.7784722222222
"416",2021,9,36,250,2021-09-07,"high","max",29.4
"417",2021,9,36,250,2021-09-07,"high","min",13.4
"418",2021,9,36,250,2021-09-07,"mid","mean",17.9611111111111
"419",2021,9,36,250,2021-09-07,"mid","max",18.9
"420",2021,9,36,250,2021-09-07,"mid","min",14.9
"421",2021,9,36,251,2021-09-08,"high","mean",18.7673611111111
"422",2021,9,36,251,2021-09-08,"high","max",28.2
"423",2021,9,36,251,2021-09-08,"high","min",15.6
"424",2021,9,36,251,2021-09-08,"mid","mean",18.2291666666667
"425",2021,9,36,251,2021-09-08,"mid","max",19.6
"426",2021,9,36,251,2021-09-08,"mid","min",16.5
"427",2021,9,36,252,2021-09-09,"high","mean",17.7791666666667
"428",2021,9,36,252,2021-09-09,"high","max",27
"429",2021,9,36,252,2021-09-09,"high","min",15.3
"430",2021,9,36,252,2021-09-09,"mid","mean",17.78125
"431",2021,9,36,252,2021-09-09,"mid","max",19.1
"432",2021,9,36,252,2021-09-09,"mid","min",16.1
"433",2021,9,37,253,2021-09-10,"high","mean",17.2208333333333
"434",2021,9,37,253,2021-09-10,"high","max",19.4
"435",2021,9,37,253,2021-09-10,"high","min",15.4
"436",2021,9,37,253,2021-09-10,"mid","mean",17.53125
"437",2021,9,37,253,2021-09-10,"mid","max",18.4
"438",2021,9,37,253,2021-09-10,"mid","min",16.2
"439",2021,9,37,254,2021-09-11,"high","mean",16.5159722222222
"440",2021,9,37,254,2021-09-11,"high","max",18.7
"441",2021,9,37,254,2021-09-11,"high","min",13.9
"442",2021,9,37,254,2021-09-11,"mid","mean",17.0340277777778
"443",2021,9,37,254,2021-09-11,"mid","max",18.3
"444",2021,9,37,254,2021-09-11,"mid","min",15.2
"445",2021,9,37,255,2021-09-12,"high","mean",16.0590277777778
"446",2021,9,37,255,2021-09-12,"high","max",17.9
"447",2021,9,37,255,2021-09-12,"high","min",13.9
"448",2021,9,37,255,2021-09-12,"mid","mean",16.3243055555556
"449",2021,9,37,255,2021-09-12,"mid","max",17.3
"450",2021,9,37,255,2021-09-12,"mid","min",14.6
"451",2021,9,37,256,2021-09-13,"high","mean",15.7006944444444
"452",2021,9,37,256,2021-09-13,"high","max",16.9
"453",2021,9,37,256,2021-09-13,"high","min",14.3
"454",2021,9,37,256,2021-09-13,"mid","mean",15.9555555555556
"455",2021,9,37,256,2021-09-13,"mid","max",16.6
"456",2021,9,37,256,2021-09-13,"mid","min",14.8
"457",2021,9,37,257,2021-09-14,"high","mean",15.0159722222222
"458",2021,9,37,257,2021-09-14,"high","max",17
"459",2021,9,37,257,2021-09-14,"high","min",13.8
"460",2021,9,37,257,2021-09-14,"mid","mean",15.2013888888889
"461",2021,9,37,257,2021-09-14,"mid","max",16.2
"462",2021,9,37,257,2021-09-14,"mid","min",13.6
