depth_m,serial,time,temp,file_i
-9.5,0431 8200 F135 0A,2024-05-03T16:35:44Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:36:04Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:36:24Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:36:44Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:37:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:37:24Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:37:44Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:38:04Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:38:24Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:38:44Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:39:04Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:39:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:39:44Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:40:04Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:40:24Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:40:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:41:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:41:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:41:44Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:42:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:42:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:42:44Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:43:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:43:24Z,11,3
-9.5,0431 8200 F135 0A,2024-05-03T16:43:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:44:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:44:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:44:44Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:45:04Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:45:24Z,11.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:45:44Z,11.1,3
